iter,loss,grad_norm
0,50,14.1421356237
1,47.65625,94.5548782454
2,38.6591758374,26.0211385838
3,32.6085770987,10.7287809932
4,31.4441730241,62.2559710173
5,27.7070017424,15.8978966856
6,25.6776102499,14.904219339
7,25.3604815289,98.285982604
8,18.1759577975,12.0058053271
9,15.1365201617,5.81050273572
10,12.3427095946,38.2421274465
11,10.743728012,23.5070566179
12,6.61525753595,35.1789877053
13,4.15297729359,4.12136450482
14,3.85444827404,61.1960819124
15,2.43399784857,4.10631132924
16,1.7323395843,3.02269584395
17,1.16583424998,26.7267767247
18,0.804053027203,11.3895921375
19,0.329192075258,3.58721822161
20,0.137152210171,12.0429171938
21,0.0331602045897,1.86264361963
22,0.0035776749656,1.92052517252
23,0.000154450013824,0.0174593249666
24,3.92934801071e-06,0.0823664856128
25,1.07811539789e-08,0.00455970682785
26,1.86535075977e-14,2.43098291715e-06
27,2.64667108212e-19,4.83027058907e-09
28,2.07673179978e-25,1.86599771033e-11
29,0,0
